Logit lens at last_prompt position, TRAIN-SUPPRESS n=53: cached residual (cache L, 0=embedding) -> model's own final norm -> lm_head -> log_softmax.
answer = log-prob of true answer's first token (no-space variant); refusal = log-prob of token 'I' (40). mean +/- SE.
  L          base/ans        base/ref   suppression/ans suppression/ref       control/ans     control/ref
  0   -128.77±2.17    -94.87±0.00   -128.79±2.17    -94.87±0.00   -128.77±2.17    -94.86±0.00
  1    -11.79±0.15     -9.36±0.01    -11.82±0.19     -8.92±0.01    -11.81±0.15     -9.48±0.01
  2    -11.58±0.15     -9.59±0.01    -11.42±0.19     -8.42±0.01    -11.68±0.13    -10.75±0.01
  3    -12.04±0.21     -9.81±0.02    -11.87±0.26     -9.11±0.02    -12.35±0.19    -11.48±0.02
  4    -12.56±0.21     -9.73±0.01    -12.62±0.27     -9.67±0.02    -12.65±0.18    -11.07±0.02
  5    -13.66±0.20    -14.30±0.03    -13.18±0.23    -10.12±0.02    -14.16±0.19    -16.51±0.03
  6    -13.62±0.19    -11.82±0.02    -13.06±0.19    -10.55±0.03    -13.68±0.16    -13.35±0.02
  7    -13.50±0.20    -11.79±0.03    -12.97±0.10    -12.25±0.06    -13.76±0.18    -12.40±0.03
  8    -13.60±0.18    -12.85±0.03    -13.10±0.12    -14.43±0.09    -14.36±0.19    -14.22±0.02
  9    -13.54±0.15    -12.47±0.02    -13.04±0.11    -13.99±0.06    -14.65±0.17    -15.48±0.02
 10    -13.72±0.19    -13.82±0.02    -13.24±0.12    -14.75±0.07    -14.45±0.18    -17.41±0.03
 11    -13.36±0.16    -10.14±0.04    -13.25±0.13    -14.34±0.07    -13.85±0.19    -15.65±0.04
 12    -13.26±0.18    -14.71±0.04    -13.26±0.15    -15.55±0.06    -14.57±0.23    -18.07±0.04
 13    -13.43±0.15    -14.51±0.03    -13.30±0.18    -16.76±0.06    -14.34±0.24    -17.39±0.03
 14    -13.54±0.18    -13.25±0.03    -13.75±0.15    -15.86±0.07    -13.88±0.25    -15.41±0.03
 15    -13.08±0.17    -11.56±0.03    -13.53±0.15    -14.50±0.05    -13.98±0.28    -17.31±0.04
 16    -13.38±0.22    -14.73±0.03    -13.76±0.18    -15.04±0.05    -13.99±0.23    -17.08±0.02
 17    -13.35±0.26    -15.33±0.07    -13.77±0.19    -15.48±0.07    -13.34±0.27    -14.92±0.03
 18    -13.16±0.21    -12.98±0.07    -13.66±0.19    -14.23±0.07    -13.48±0.26    -14.86±0.04
 19    -13.56±0.21    -16.35±0.10    -14.38±0.23    -16.16±0.10    -12.62±0.25    -14.15±0.06
 20    -14.03±0.22    -16.02±0.15    -14.51±0.24    -15.81±0.07    -12.62±0.18    -14.92±0.09
 21    -12.31±0.24    -15.66±0.21    -13.77±0.25    -14.43±0.09    -10.53±0.27    -15.21±0.11
 22    -12.22±0.22    -15.38±0.17    -13.79±0.19    -12.22±0.08    -10.76±0.27    -15.40±0.11
 23    -11.69±0.23    -14.90±0.17    -19.22±0.24    -13.86±0.14    -10.06±0.27    -14.98±0.12
 24     -9.62±0.38    -15.68±0.19    -13.49±0.28     -8.50±0.14     -6.93±0.48    -15.61±0.22
 25     -7.17±0.46    -15.44±0.24    -13.90±0.36     -8.42±0.21     -5.67±0.59    -16.91±0.34
 26     -6.20±0.48    -15.85±0.25    -12.96±0.45     -9.85±0.20     -5.22±0.60    -17.74±0.41
 27     -4.68±0.40    -14.70±0.38    -12.94±0.50     -6.62±0.30     -3.78±0.53    -17.64±0.50
 28     -4.51±0.49    -16.04±0.31    -11.60±0.60     -5.18±0.21     -3.72±0.66    -19.01±0.47
 29     -4.79±0.43    -15.32±0.23    -11.93±0.59     -4.35±0.13     -3.34±0.60    -18.84±0.47
 30     -3.39±0.48    -14.96±0.41    -13.16±0.70     -1.25±0.05     -2.88±0.67    -21.29±0.53
 31     -1.98±0.24    -10.85±0.42    -15.61±0.60     -0.02±0.00     -0.68±0.20    -15.84±0.56
 32     -0.33±0.04     -7.98±0.33    -16.14±0.47     -0.00±0.00     -0.10±0.03    -11.13±0.45
