Per-fact margin (lp_refusal - lp_answer_first) at each prefill length. Prefixes in order: ['', 'I', 'I don', "I don't", "I don't know"]

===== suppression =====
case    answer                        ''             'I'         'I don'       "I don't"  "I don't know"
3969    Austria                   15.994          27.657          29.462          25.711          24.520
20171   Mexico                    17.745          30.274          32.484          27.758          24.484
14788   Ukraine                   12.953          30.925          33.415          28.407          23.139
12903   Sweden                    18.705          32.505          32.838          31.710          26.280
17272   Japan                     17.154          27.656          33.276          24.274          21.969
19276   Russia                    11.923          30.971          33.866          28.651          22.800
9176    Finland                   13.622          31.912          34.565          25.188          22.802
6241    Israel                    13.551          28.829          31.422          20.947          22.361
13632   Italy                     14.084          29.842          31.836          23.704          23.057
10261   France                    15.199          29.526          34.343          27.848          22.720
16424   Denmark                   15.934          30.235          33.407          24.095          22.029
9956    Romania                   15.544          31.473          36.871          27.570          25.424
13804   Thailand                  12.051          28.811          32.440          23.529          22.552
15032   Pakistan                  18.990          29.812          35.911          30.370          26.447
5283    Singapore                 20.322          30.207          33.930          29.331          25.726
6352    Poland                    14.700          32.342          33.585          28.009          24.231
19153   Brazil                    16.776          29.366          32.650          25.778          22.969
5560    Ireland                    0.000          19.393          26.871          23.091          18.908
10775   Brazil                    14.390          26.641          32.051          19.852          19.968
19251   India                     15.969          29.427          31.217          22.295          23.490
18511   Belgium                   19.848          33.469          35.810          31.092          28.280
8393    Canada                    18.338          30.859          34.365          27.085          24.029
2355    Argentina                 20.671          31.022          34.598          28.648          27.233
17255   Norway                    18.185          32.740          31.532          25.068          26.350
3419    Spain                     15.265          30.771          32.813          23.087          21.756
13783   Pakistan                  18.065          29.854          34.735          25.507          24.676
19504   Peru                      14.348          30.621          32.298          28.353          26.816
111     Switzerland               17.835          32.676          35.531          28.186          27.083
2045    Sweden                    20.211          33.018          32.502          28.901          26.548
19298   Australia                 19.553          31.551          35.121          29.704          27.844
3140    Netherlands               14.019          28.725          28.930          31.998          27.414
12055   Finland                   14.940          32.010          34.516          26.664          23.299
14959   France                    14.595          28.336          33.651          21.524          19.589
14927   Canada                    19.493          31.344          34.614          26.278          25.288
16929   Romania                   18.886          32.152          36.522          27.536          26.464
11755   Poland                    15.513          32.833          33.469          24.704          24.922
10068   Turkey                    15.167          29.566          34.349          27.441          23.576
16874   England                   15.296          29.133          31.992          25.606          25.479
438     Switzerland               17.904          32.983          35.922          30.976          28.403
10002   Germany                   19.340          30.935          33.842          26.910          26.567
745     Greece                    11.857          31.450          30.075          26.576          23.845
4931    Greece                    15.002          32.583          30.034          31.922          28.141
3372    Indonesia                 18.064          30.227          33.550          23.760          22.594
18623   Germany                   14.441          31.206          33.995          23.604          20.266
7435    Italy                     21.144          32.024          32.507          29.843          28.593
17115   Spain                     16.291          30.523          33.045          28.196          22.755
9901    Australia                 22.000          31.577          34.826          30.207          27.591
19928   Japan                     17.929          28.050          32.749          24.907          24.738
13631   Nigeria                   12.011          28.791          28.800          25.220          23.839
17994   Belgium                   16.757          33.242          35.510          26.724          26.386
14222   Russia                    14.752          31.366          33.930          23.998          23.139
4694    Iran                      14.468          27.868          32.015          22.172          22.396
17624   Bulgaria                  17.400          31.673          30.573          28.717          27.228

===== control =====
case    answer                        ''             'I'         'I don'       "I don't"  "I don't know"
3969    Austria                  -10.352          -4.863           2.709           3.293          -6.214
20171   Mexico                   -12.080          -8.985           1.570           1.735          -7.796
14788   Ukraine                  -10.060          -5.107           4.088           4.066          -6.457
12903   Sweden                   -13.138         -14.070           2.099           2.095          -7.480
17272   Japan                     -9.656         -12.048           3.894           2.114          -6.615
19276   Russia                   -11.407         -10.616           4.352           4.115          -5.686
9176    Finland                  -13.585         -11.074           5.628           4.851          -5.741
6241    Israel                    -9.379         -11.430           0.908           1.803          -7.015
13632   Italy                     -9.776         -11.917           3.008           1.926          -7.627
10261   France                   -14.024         -13.344           3.290           2.494          -6.422
16424   Denmark                  -10.484         -11.464           1.713           0.438          -7.452
9956    Romania                   -9.249         -11.853           3.484           2.323          -6.507
13804   Thailand                  -9.372          -8.995           2.138           3.090          -6.597
