Relearning from paraphrases (both CounterFact paraphrases per fact, 106 examples/condition), LR 3e-6, batch 8, 60 steps,
warmup 5, seed 0, fp32-master/bf16-moment AdamW; eval every 2 steps in fp32 (master weights -> fp32 model) on the
ORIGINAL wording-B prompts of that condition's 53 facts. exact/53, contains/53, mean lp_true (max over space variants).
step |          suppression_seed0 |                 base_novel |          suppression_seed1
   0 |    0    0    -18.91      |    6   11     -3.84      |    0    0    -21.33     
   2 |    0    0    -14.83      |   18   18     -2.68      |    0    0    -14.65     
   4 |    0    0     -9.88      |   28   28     -2.06      |    0    0     -9.32     
   6 |    0    0     -5.54      |   24   24     -1.91      |    0    0     -5.01     
   8 |    4    4     -2.46      |   20   20     -2.13      |   10   13     -2.90     
  10 |   43   43     -1.21      |   32   32     -1.71      |    8   11     -3.43     
  12 |   45   45     -0.88      |   38   38     -0.95      |   23   25     -2.17     
  14 |   44   44     -0.79      |   43   43     -0.54      |   40   40     -1.50     
  16 |   48   48     -0.62      |   46   46     -0.43      |   42   42     -1.16     
  18 |   49   49     -0.50      |   49   49     -0.31      |   46   46     -0.90     
  20 |   51   51     -0.36      |   46   46     -0.40      |   47   47     -0.69     
  22 |   51   51     -0.26      |   50   50     -0.27      |   48   48     -0.47     
  24 |   52   52     -0.20      |   51   51     -0.16      |   50   50     -0.34     
  26 |   52   52     -0.15      |   50   50     -0.14      |   51   51     -0.22     
  28 |   52   52     -0.10      |   52   52     -0.10      |   53   53     -0.09     
  30 |   53   53     -0.07      |   52   52     -0.13      |   53   53     -0.06     
  32 |   53   53     -0.05      |   51   51     -0.20      |   53   53     -0.05     
  34 |   53   53     -0.04      |   49   49     -0.28      |   53   53     -0.04     
  36 |   53   53     -0.03      |   49   49     -0.28      |   53   53     -0.04     
  38 |   53   53     -0.02      |   52   52     -0.11      |   53   53     -0.04     
  40 |   53   53     -0.02      |   53   53     -0.02      |   53   53     -0.04     
  42 |   53   53     -0.02      |   53   53     -0.01      |   53   53     -0.03     
  44 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.03     
  46 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.02     
  48 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.02     
  50 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.02     
  52 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.01     
  54 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.01     
  56 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.01     
  58 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.01     
  60 |   53   53     -0.01      |   53   53     -0.00      |   53   53     -0.01     

suppression_seed0: first step exact >= 50%/90%/100% of 53: 10/16/30 | step-0 exact 0, lp -18.91 | final exact 53/53, lp -0.01
base_novel: first step exact >= 50%/90%/100% of 53: 4/18/40 | step-0 exact 6, lp -3.84 | final exact 53/53, lp -0.00
suppression_seed1: first step exact >= 50%/90%/100% of 53: 14/22/28 | step-0 exact 0, lp -21.33 | final exact 53/53, lp -0.01
