W_diff = W_suppression - W_control (fp32). frac_k = sum_{i<=k} s_i^2 / sum s_i^2 (Frobenius energy).
effective rank = exp(entropy of s_i^2/sum). conv1d is depthwise (8192,1,4), reshaped (8192,4).
cacheL/matrix                              shape    |D|_F |D|/|Wc|   erank     f1     f5    f10    f50   top-10 singular values
L20/self_attn.q_proj.weight         [8192, 2560]    0.335   0.0060   113.1  0.178  0.426  0.550  0.726   0.141 0.101 0.086 0.071 0.071 0.061 0.057 0.053 0.048 0.043
L20/self_attn.k_proj.weight         [1024, 2560]    0.117   0.0065   105.2  0.095  0.342  0.489  0.743   0.036 0.032 0.030 0.028 0.026 0.023 0.022 0.020 0.018 0.017
L20/self_attn.v_proj.weight         [1024, 2560]    0.114   0.0047   113.7  0.169  0.379  0.498  0.691   0.047 0.031 0.025 0.024 0.023 0.022 0.018 0.016 0.015 0.015
L20/self_attn.o_proj.weight         [2560, 4096]    0.233   0.0055    92.6  0.239  0.477  0.581  0.729   0.114 0.070 0.059 0.052 0.044 0.040 0.039 0.032 0.029 0.025
L20/mlp.gate_proj.weight            [9216, 2560]    0.354   0.0076   126.5  0.145  0.369  0.503  0.729   0.135 0.101 0.090 0.072 0.069 0.063 0.060 0.059 0.057 0.051
L20/mlp.up_proj.weight              [9216, 2560]    0.352   0.0078   102.1  0.158  0.407  0.546  0.757   0.140 0.105 0.090 0.077 0.076 0.068 0.062 0.058 0.052 0.051
L20/mlp.down_proj.weight            [2560, 9216]    0.350   0.0080   102.4  0.152  0.398  0.543  0.762   0.136 0.097 0.088 0.083 0.078 0.069 0.067 0.055 0.053 0.051
L21/linear_attn.in_proj_qkv.weight  [8192, 2560]    0.337   0.0048   228.6  0.133  0.305  0.407  0.626   0.123 0.088 0.070 0.060 0.057 0.055 0.049 0.047 0.046 0.043
L21/linear_attn.in_proj_z.weight    [4096, 2560]    0.238   0.0053   160.4  0.140  0.349  0.467  0.679   0.089 0.066 0.056 0.051 0.042 0.040 0.039 0.036 0.035 0.032
L21/linear_attn.in_proj_b.weight      [32, 2560]    0.021   0.0067    22.9  0.158  0.443  0.630  1.000   0.008 0.007 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.004
L21/linear_attn.in_proj_a.weight      [32, 2560]    0.022   0.0045    18.3  0.250  0.542  0.698  1.000   0.011 0.007 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.003
L21/linear_attn.out_proj.weight     [2560, 4096]    0.235   0.0063   119.8  0.186  0.392  0.518  0.717   0.101 0.057 0.057 0.053 0.046 0.044 0.041 0.038 0.032 0.030
L21/linear_attn.conv1d.weight          [8192, 4]    0.011   0.0007     3.4  0.519  1.000  1.000  1.000   0.008 0.005 0.004 0.004
L21/mlp.gate_proj.weight            [9216, 2560]    0.358   0.0069   130.3  0.140  0.379  0.509  0.723   0.134 0.102 0.095 0.076 0.073 0.065 0.060 0.059 0.054 0.049
L21/mlp.up_proj.weight              [9216, 2560]    0.351   0.0080    94.9  0.161  0.419  0.557  0.768   0.141 0.106 0.094 0.084 0.069 0.066 0.062 0.059 0.052 0.051
L21/mlp.down_proj.weight            [2560, 9216]    0.351   0.0082   103.2  0.152  0.390  0.540  0.761   0.137 0.097 0.089 0.082 0.073 0.071 0.065 0.063 0.053 0.049
L22/linear_attn.in_proj_qkv.weight  [8192, 2560]    0.340   0.0049   209.3  0.138  0.324  0.434  0.641   0.126 0.085 0.079 0.064 0.063 0.057 0.054 0.050 0.047 0.042
L22/linear_attn.in_proj_z.weight    [4096, 2560]    0.240   0.0052   175.9  0.119  0.331  0.453  0.667   0.083 0.068 0.057 0.051 0.041 0.039 0.039 0.038 0.037 0.034
L22/linear_attn.in_proj_b.weight      [32, 2560]    0.022   0.0067    22.7  0.147  0.450  0.656  1.000   0.008 0.007 0.006 0.006 0.005 0.005 0.005 0.004 0.004 0.004
L22/linear_attn.in_proj_a.weight      [32, 2560]    0.022   0.0044    19.3  0.247  0.517  0.682  1.000   0.011 0.006 0.006 0.005 0.005 0.004 0.004 0.004 0.004 0.003
L22/linear_attn.out_proj.weight     [2560, 4096]    0.235   0.0063   123.6  0.175  0.388  0.511  0.715   0.098 0.060 0.056 0.054 0.045 0.044 0.040 0.036 0.032 0.031
L22/linear_attn.conv1d.weight          [8192, 4]    0.011   0.0007     3.3  0.540  1.000  1.000  1.000   0.008 0.005 0.004 0.004
L22/mlp.gate_proj.weight            [9216, 2560]    0.360   0.0067   135.9  0.134  0.373  0.506  0.715   0.132 0.102 0.094 0.077 0.076 0.070 0.061 0.059 0.054 0.049
L22/mlp.up_proj.weight              [9216, 2560]    0.351   0.0080   100.3  0.146  0.405  0.550  0.762   0.134 0.107 0.092 0.084 0.070 0.066 0.065 0.060 0.055 0.052
L22/mlp.down_proj.weight            [2560, 9216]    0.350   0.0082   112.0  0.122  0.368  0.527  0.754   0.122 0.098 0.088 0.084 0.076 0.074 0.067 0.060 0.056 0.053
wrote data/weight_diff_spectra.json
